Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1497(_fix_env)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.8/_collections_abc.py:816(clear)
       17    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:2118(_match_arguments_partial)
        6    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1631(_add_step_args)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      9/1    0.000    0.000    3.673    3.673 {built-in method builtins.exec}
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:150(dirname)
        5    0.000    0.000    0.311    0.062 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:550(_setup_working_dir)
       18    0.000    0.000    0.025    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/composite.py:96(_handle)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      214    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.070    0.070 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:18(<module>)
    77/37    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pprint.py:502(_safe_repr)
       16    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1579(__init__)
        6    0.000    0.000    0.203    0.034 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1080(configure_args)
       17    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1966(consume_positionals)
      9/1    0.000    0.000    0.105    0.105 <frozen importlib._bootstrap>:986(_find_and_load)
      408    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:71(_im_func)
        1    0.000    0.000    3.493    3.493 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:172(_run_streaming_step)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.8/locale.py:384(normalize)
        3    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:228(_parse_task_counters)
        5    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/parse.py:115(parse_mr_job_stderr)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1767(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
      218    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:231(<genexpr>)
        6    0.000    0.000    0.003    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1585(_add_job_args)
      107    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
        8    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        4    0.000    0.000    0.000    0.000 {built-in method posix.sendfile}
      571    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      346    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       21    0.000    0.000    0.009    0.000 /usr/lib/python3.8/argparse.py:2096(_match_argument)
        2    0.000    0.000    0.034    0.017 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:720(_runner_kwargs)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       12    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      298    0.000    0.000    0.000    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:36(<genexpr>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/glob.py:116(_iterdir)
       16    0.000    0.000    0.000    0.000 {method 'stat' of 'posix.DirEntry' objects}
       13    0.000    0.000    0.024    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/local.py:62(mkdir)
       21    0.000    0.000    0.009    0.000 /usr/lib/python3.8/argparse.py:1889(consume_optional)
       41    0.000    0.000    0.009    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:612(_task_dir)
        1    0.000    0.000    0.039    0.039 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:25(reducer_init)
